flow_ID rev_flow_ID src_ip dst_ip src_port dst_port client_hello_len, client_hello_exts_number, server_hello_len, server_hello_exts_number,tls_version
11205, 1664, 1.1.1.3, 172.19.22.4, 443, 55302, 596, 240, 118, 2, 3, 3
31684, 17024, 1.1.1.3, 172.19.22.4, 443, 55296, 596, 240, 118, 2, 3, 3
11207, 11905, 1.1.1.3, 172.19.22.4, 443, 55306, 596, 240, 118, 2, 3, 3
3316, 11946, 104.21.2.190, 172.19.22.4, 443, 47308, 591, 14, 118, 2, 3, 1
3315, 22184, 104.21.2.190, 172.19.22.4, 443, 47320, 591, 14, 118, 2, 3, 1
22541, 8375, 104.18.35.3, 172.19.22.4, 443, 58150, 581, 14, 118, 2, 3, 1
32450, 7182, 35.156.224.161, 172.19.22.4, 443, 57448, 582, 14, 151, 2, 3, 1
11971, 22542, 35.156.224.161, 172.19.22.4, 443, 57454, 582, 14, 151, 2, 3, 1
24751, 29064, 3.9.51.5, 172.19.22.4, 443, 59184, 586, 14, 151, 2, 3, 1
7869, 30052, 104.18.16.5, 172.19.22.4, 443, 43494, 587, 14, 118, 2, 3, 1
19715, 2411, 142.250.200.104, 172.19.22.4, 443, 47046, 595, 14, 118, 2, 3, 1
11962, 20838, 104.18.16.5, 172.19.22.4, 443, 43504, 587, 14, 118, 2, 3, 1
19716, 29033, 142.250.200.104, 172.19.22.4, 443, 47058, 595, 14, 118, 2, 3, 1
130, 9381, 151.101.193.229, 172.19.22.4, 443, 52370, 587, 14, 118, 2, 3, 1
2178, 20087, 35.190.70.79, 172.19.22.4, 443, 36182, 584, 14, 118, 2, 3, 1
22662, 23156, 35.190.70.79, 172.19.22.4, 443, 36168, 584, 14, 118, 2, 3, 1
22668, 23155, 35.190.70.79, 172.19.22.4, 443, 36216, 584, 14, 118, 2, 3, 1
26753, 32374, 35.190.70.79, 172.19.22.4, 443, 36190, 584, 14, 118, 2, 3, 1
14479, 27250, 35.190.70.79, 172.19.22.4, 443, 36208, 584, 14, 118, 2, 3, 1
2186, 26225, 35.190.70.79, 172.19.22.4, 443, 36202, 584, 14, 118, 2, 3, 1
25319, 19235, 104.16.140.206, 172.19.22.4, 443, 60156, 585, 14, 118, 2, 3, 1
12424, 30882, 151.101.193.229, 172.19.22.4, 443, 52384, 587, 14, 118, 2, 3, 1
14509, 27243, 35.190.70.79, 172.19.22.4, 443, 36224, 584, 14, 118, 2, 3, 1
26798, 1642, 35.190.70.79, 172.19.22.4, 443, 36234, 584, 14, 118, 2, 3, 1
2216, 26216, 35.190.70.79, 172.19.22.4, 443, 36250, 584, 14, 118, 2, 3, 1
26795, 22121, 35.190.70.79, 172.19.22.4, 443, 36242, 584, 14, 118, 2, 3, 1
2223, 7786, 35.190.70.79, 172.19.22.4, 443, 36238, 584, 14, 118, 2, 3, 1
26764, 1651, 35.190.70.79, 172.19.22.4, 443, 36218, 584, 14, 118, 2, 3, 1
12818, 22114, 104.21.90.114, 172.19.22.4, 443, 56712, 583, 14, 118, 2, 3, 1
15257, 3137, 104.17.2.184, 172.19.22.4, 443, 56214, 596, 240, 118, 2, 3, 3
5349, 30889, 104.17.3.184, 172.19.22.4, 443, 54072, 596, 240, 118, 2, 3, 3
9447, 3240, 104.17.3.184, 172.19.22.4, 443, 54070, 596, 240, 118, 2, 3, 3
17071, 24979, 23.47.188.8, 172.19.22.4, 443, 49648, 588, 14, 118, 2, 3, 1
31651, 10680, 185.15.58.224, 172.19.22.4, 443, 32864, 589, 240, 118, 2, 3, 3
31649, 441, 185.15.58.224, 172.19.22.4, 443, 32876, 589, 240, 118, 2, 3, 3
160, 21213, 23.47.189.161, 172.19.22.4, 443, 34716, 580, 14, 118, 2, 3, 1
9068, 8296, 23.47.189.146, 172.19.22.4, 443, 51586, 592, 14, 118, 2, 3, 1
